Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,CPEIX,Catalyst Dynamic Alpha Fund Class I,Sale (Partial),02/02/2023,"$1,001 - $15,000",n/a
Self,PEXMX,T. Rowe Price Extended Equity Market Index Fund,Sale (Full),02/02/2023,"$15,001 - $50,000",n/a
Self,PIMSX,Virtus Newfleet Multi-Sector Short Term Bond Fun,Sale (Full),02/02/2023,"$15,001 - $50,000",n/a
Self,TFSLX,Touchstone Flexible Income Fd Inst Cl,Sale (Full),03/06/2023,"$15,001 - $50,000",n/a
Self,RAIIX,Rainier International Discovery Series - Class I,Purchase,03/06/2023,"$1,001 - $15,000",n/a
Self,VGK,Europe ETF FTSE Vanguard,Sale (Partial),03/07/2023,"$1,001 - $15,000",n/a
Self,CLNRX,Columbia Global Opportunities Fund Class I2,Sale (Full),04/05/2023,"$1,001 - $15,000",n/a
Self,TSCSX,Thrivent Small Cap Stock Fund Class S,Sale (Partial),04/05/2023,"$1,001 - $15,000",n/a
Self,TSYYX,Touchstone Ultra Short Duration Fixed Income Fd,Sale (Full),04/05/2023,"$15,001 - $50,000",n/a
Self,VGK,Europe ETF FTSE Vanguard,Sale (Full),04/06/2023,"$1,001 - $15,000",n/a
Self,PLFDX,Pacific Funds Floating Rate Income - Advisor Cla,Sale (Full),05/04/2023,"$1,001 - $15,000",n/a
Self,CPEIX,Catalyst Dynamic Alpha Fund Class I,Sale (Full),05/04/2023,"$1,001 - $15,000",n/a
Self,MCEIX,Martin Currie Emerging Markets Fund Class I,Sale (Full),05/04/2023,"$1,001 - $15,000",n/a
Self,RIPIX,Royce International Premier Fund Institutional C,Sale (Full),05/04/2023,"$1,001 - $15,000",n/a
Self,VIESX,Virtus Kar Emerging Markets Small-Cap Fund I,Sale (Full),05/04/2023,"$1,001 - $15,000",n/a
Self,RGERX,Columbia Select Global Equity Fund Class I2,Purchase,02/02/2023,"$1,001 - $15,000",n/a
Self,PLSRX,Pacific Funds Strategic Income - Class I,Purchase,02/02/2023,"$15,001 - $50,000",n/a
Self,VWUAX,Vanguard  U.S. Growth Fund Admiral Shares,Purchase,02/02/2023,"$15,001 - $50,000",n/a
Self,MAWIX,Blackrock Strategic Global Bond Fund Inc. - Ins,Purchase,03/06/2023,"$1,001 - $15,000",n/a
Self,LAHYX,Lord Abbett Investment Trust High Yield Fund Cla,Purchase,03/06/2023,"$1,001 - $15,000",n/a
Self,VGISX,Virtus Duff & Phelps Global Real Estate Securiti,Purchase,03/06/2023,"$1,001 - $15,000",n/a
Self,BSBIX,Baird Short Term Bond Fund Institutional Class,Purchase,04/05/2023,"$1,001 - $15,000",n/a
Self,EIFAX,Eaton Vance Floating-Rate Advantaged Fund Class,Purchase,04/05/2023,"$15,001 - $50,000",n/a
Self,JENIX,Jensen Quality Growth Fund Cl I,Purchase,04/05/2023,"$1,001 - $15,000",n/a
Self,IXUS,iShares Core MSCI Total International Stock ETF,Purchase,04/06/2023,"$1,001 - $15,000",n/a
Self,IYMIX,Delaware Ivy Mid Cap Growth Fund Class I,Purchase,05/04/2023,"$15,001 - $50,000",n/a
Self,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Purchase,05/04/2023,"$1,001 - $15,000",n/a
Self,GIBIX,Guggenheim Total Return Bond Fund- Institutional,Purchase,05/04/2023,"$1,001 - $15,000",n/a
Self,JENIX,Jensen Quality Growth Fund Cl I,Purchase,05/04/2023,"$1,001 - $15,000",n/a
Self,IXUS,Total Intl Stock Ishares Core MSCI ETF,Purchase,05/05/2023,"$1,001 - $15,000",n/a
Self,LAHYX,Lord Abbett Investment Trust High Yield Fund Cla,Purchase,05/05/2023,"$1,001 - $15,000",n/a
Self,PLSRX,Pacific Funds Strategic Income - Class I,Purchase,12/12/2023,"$1,001 - $15,000",n/a
Self,EIFAX,Eaton Vance Floating-Rate Advantaged Fund Class,Purchase,12/12/2023,"$1,001 - $15,000",n/a
Self,GIBIX,Guggenheim Total Return Bond Fund- Institutional,Purchase,12/12/2023,"$1,001 - $15,000",n/a
Self,RAIIX,Rainier International Discovery Series - Class I,Purchase,12/12/2023,"$1,001 - $15,000",n/a
Spouse,DVY,iShares Select Dividend ETF,Purchase,01/27/2023,"$1,001 - $15,000",n/a
Spouse,BSBIX,Baird Short Term Bond Fund Institutional Class,Purchase,01/27/2023,"$1,001 - $15,000",n/a
Spouse,BIOIX,Baron Opportunity Fund Inst Shs,Purchase,01/27/2023,"$1,001 - $15,000",n/a
Spouse,HIGFX,American High-Income Trust - Class F-3,Purchase,01/30/2023,"$1,001 - $15,000",n/a
Spouse,HIGFX,American High-Income Trust - Class F-3,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Spouse,HIGFX,American High-Income Trust - Class F-3,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Spouse,GOBIX,Brandywineglobal - Global Opportunities Bond Fun,Sale (Partial),01/27/2023,"$1,001 - $15,000",n/a
Spouse,FTHSX,Fuller & Thaler Behavioral Small-Cap Equity Fund,Sale (Partial),01/27/2023,"$1,001 - $15,000",n/a
Spouse,PIMSX,Virtus Newfleet Multi-Sector Short Term Bond Fun,Sale (Full),01/27/2023,"$1,001 - $15,000",n/a
Spouse,LBFIX,Clearbridge Select Fd I,Sale (Partial),08/03/2023,"$1,001 - $15,000",n/a
Spouse,--,Scholar's Edge Aggressive Portfolio A,Sale (Partial),02/03/2023,"$1,001 - $15,000",n/a
