Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Child,BIBDX,Blackrock Global Dividend Ptf Institutional,Purchase,04/28/2023,"$1,001 - $15,000"
Child,BMCIX,Blackrock High Equity Income Fund - Institutiona,Purchase,04/28/2023,"$1,001 - $15,000"
Child,BDHIX,Blackrock Dynamic High Income Portfolio - Instit,Purchase,04/28/2023,"$1,001 - $15,000"
Child,BHYIX,Blackrock High Yield Bond Portfolio - Institutio,Purchase,04/28/2023,"$1,001 - $15,000"
Child,BHYIX,Blackrock High Yield Bond Portfolio - Institutio,Sale (Partial),10/10/2023,"$1,001 - $15,000"
Child,IGRO,iShares International Dividend Growth ETF,Purchase,04/28/2023,"$1,001 - $15,000"
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,04/28/2023,"$1,001 - $15,000"
Child,VYM,Vanguard High Dividend Yield ETF,Purchase,04/28/2023,"$1,001 - $15,000"
Child,IGSB,iShares 1-5 Year Investment Grade Corporate Bond E,Purchase,04/28/2023,"$1,001 - $15,000"
Child,FALN,iShares Fallen Angels USD Bond ETF,Purchase,10/10/2023,"$1,001 - $15,000"
Child,PFF,iShares Preferred and Income Securities ETF,Purchase,04/28/2023,"$1,001 - $15,000"
